rank,source_id,display_name,family,probe_type,recommendation,total_score,reachable,status_code,has_cse_coverage,has_2026_dates,has_verifiable_dates,has_report_date,has_per_row_dates,observed_dates,required_fields_present,current_snapshot,recommendation_reason,url
1,yahoo_comb_chart,Yahoo Finance COMB-N0000.CM chart API,ohlcv,api,accepted_candidate,12.7,True,200,True,True,True,False,True,2025-12-31;2026-01-02;2026-01-05;2026-01-06;2026-01-07;2026-01-08;2026-01-09;2026-01-12;2026-01-13;2026-01-14;2026-01-16;2026-01-19;2026-01-20;2026-01-21;2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28;2026-01-29,True,False,date-bearing OHLCV source worth an ingestion adapter,https://query1.finance.yahoo.com/v8/finance/chart/COMB-N0000.CM?period1=1767139200&period2=1780185600&interval=1d
2,world_bank_lka_interest_rate,World Bank Sri Lanka real interest rate API,macro_rates,api,accepted_candidate,12.6,True,200,True,True,True,False,True,2021;2022;2023;2024;2025;2026-04-08,True,False,date-bearing source for non-OHLCV family,https://api.worldbank.org/v2/country/LKA/indicator/FR.INR.RINR?format=json&per_page=5
3,cse_trade_summary_current,CSE tradeSummary API,ohlcv,api,quarantine,11.6,True,200,True,True,True,False,True,2026-05-29,True,True,current snapshot only; cannot fill historical 2026 gap,https://www.cse.lk/api/tradeSummary
4,cse_today_share_price_current,CSE todaySharePrice API,ohlcv,api,quarantine,11.6,True,200,True,True,True,False,True,2026-05-29,True,True,current snapshot only; cannot fill historical 2026 gap,https://www.cse.lk/api/todaySharePrice
5,cse_daily_market_summary_current,CSE dailyMarketSummery API,market_stats,api,quarantine,11.6,True,200,True,True,True,False,True,2026-05-26;2026-05-28,True,True,current snapshot only; cannot fill historical 2026 gap,https://www.cse.lk/api/dailyMarketSummery
6,cse_chart_data_aspi,CSE chartData ASPI,indices,api,accepted_candidate,11.0,True,200,True,False,True,False,True,2025-06-02;2025-06-03;2025-06-04;2025-06-05;2025-06-06;2025-06-09;2025-06-11;2025-06-12;2025-06-13;2025-06-16;2025-06-17;2025-06-18;2025-06-19;2025-06-20;2025-06-23;2025-06-24;2025-06-25;2025-06-26;2025-06-27;2025-06-30,True,False,date-bearing source for non-OHLCV family,https://www.cse.lk/api/chartData
7,lbo_wordpress_posts,LBO WordPress posts API,news_announcements,api,accepted_candidate,10.4,True,200,True,True,True,False,True,"2026-05-29T06:30:10;2026-05-29T10:29:07;2026-05-29T10:39:29;2026-05-29T19:09:08;2026-05-30T08:51:57;22 May 2026;<p>Evolution Auto Private Limited the authorised distributor for Xpeng in Sri Lanka, officially launched the New Generation Xpeng G6 at its multi brand showroom in Colombo 05 on 22 May 2026, marking a significant milestone in the country’s rapidly evolving electric vehicle landscape. The launch event brought together media representatives, industry stakeholders, and invited guests [&hellip;]</p>;<p>Evolution Auto Private Limited the authorised distributor for Xpeng in Sri Lanka, officially launched the New Generation Xpeng G6 at its multi brand showroom in Colombo 05 on 22 May 2026, marking a significant milestone in the country’s rapidly evolving electric vehicle landscape.</p>



<p>The launch event brought together media representatives, industry stakeholders, and invited guests for the official unveiling of the premium intelligent electric SUV. The evening featured a formal vehicle reveal, live demonstrations, and opportunities for test drives, allowing attendees to experience the Xpeng G6 firsthand.</p>



<p>The introduction of the Xpeng G6 arrived at a crucial moment for Sri Lanka’s New Energy Vehicle market. While consumer interest in electric mobility continues to grow, the segment has faced challenges including range anxiety, limited premium offerings, and concerns over aftersales support. The arrival of the G6 aimed to directly address these gaps by introducing a globally competitive intelligent EV backed by advanced technology and strong international partnerships.</p>



<p>Speaking at the launch, Ashan Wickramasinghe Head of Marketing Evolution Auto stated:</p>



<p>“We are not just bringing a car to Sri Lanka. We are bringing a new standard in technology, in ownership experience, and in what Sri Lankan consumers should expect from a modern electric vehicle.”</p>



<p>Positioned as a premium electric SUV competing in the global mid to upper EV segment, the Xpeng G6 offered a WLTP certified driving range of up to 480 kilometres. The vehicle was powered by an electric motor delivering 110 kW of output and 440 Nm of torque, providing a balance of efficiency, performance, and everyday usability.</p>



<p>A key highlight of the G6 was XPILOT, Xpeng’s proprietary Level 2 Advanced Driver Assistance System. The system included Adaptive Cruise Control, Lane Centering, automated parking, and remote summon functionality. Designed to enhance safety and convenience, XPILOT supported drivers while maintaining full driver responsibility in accordance with Level 2 autonomy standards.</p>



<p>Inside, the Xpeng G6 showcased a strong emphasis on digital integration and comfort. The cabin featured a 15.6 inch central touchscreen infotainment system, the XOPERA 2.0 premium sound system with 18 speakers, ventilated and massaging front seats, and dual glazed soundproof glass with active noise cancellation. These features collectively positioned the vehicle as a technologically advanced and comfort focused electric SUV.</p>



<p>Xpeng, the manufacturer of the G6, is a globally listed technology company headquartered in Guangzhou China and traded on the New York Stock Exchange under the ticker XPEV. The</p>



<p>company has evolved beyond traditional automotive manufacturing, expanding into artificial intelligence, robotics, and advanced mobility systems.</p>



<p>Its strategic partnership with the Volkswagen Group further reinforces its global positioning. In 2023, Volkswagen acquired a 4.99 percent stake in Xpeng and entered a joint development agreement focused on next generation electric vehicle platforms, highlighting strong industry confidence in Xpeng’s technological capabilities.</p>



<p>The Xpeng G6 is part of a broader innovation ecosystem developed by the company, which includes autonomous mobility research, humanoid robotics under its IRON platform, and flying vehicle development through its ARIDGE division. These initiatives reflect Xpeng’s long term vision of integrating physical AI across multiple modes of transport and intelligent systems.</p>



<p>For Sri Lanka, the launch of the G6 represents more than the introduction of a new vehicle model. It signals the entry of a globally significant technology brand into the local market, bringing with it advanced mobility solutions and new expectations for the EV ownership experience.</p>



<p>Evolution Auto emphasized that the introduction of the Xpeng G6 aligns with its long term commitment to expanding premium electric mobility options in Sri Lanka. The company noted that full aftersales support, service infrastructure, and customer experience enhancements would accompany the brand’s entry into the market.</p>



<p>As Sri Lanka continues its transition toward sustainable transportation, the arrival of the Xpeng G6 is expected to play a key role in shaping consumer expectations and accelerating adoption of intelligent electric vehicles in the premium segment.</p>



<p>Evolution Auto (Pvt) Ltd Evolution Auto (Pvt) Ltd is the sole authorized distributor for Xpeng electric vehicles in Sri Lanka. The company operates a multi-brand showroom at R. A. De Mel Mawatha, Colombo 05, and provides full aftersales service through a dedicated multi-brand workshop with a fully stocked parts inventory. Contact evolution auto on 0744112132 or visit www.xpeng.lk to learn more about evolution auto &amp; Xpeng.</p>;https://www.lankabusinessonline.com/2026/05/29/ceylon-chamber-applauds-imf-review-approval-urges-fuel-qr-optimization-clear-economic-policy-signals/;https://www.lankabusinessonline.com/2026/05/29/evolution-auto-launched-the-xpeng-g6-in-sri-lanka-marking-a-new-era-in-premium-electric-mobility/;https://www.lankabusinessonline.com/2026/05/29/joint-statement-by-the-heads-of-international-energy-agency-imf-world-bank-group-wto/;https://www.lankabusinessonline.com/2026/05/29/why-sri-lankas-sme-apparel-sector-needs-a-national-sustainable-industries-policy-framework/;https://www.lankabusinessonline.com/2026/05/30/sri-lanka-to-end-duty-free-vehicle-scheme-cancel-existing-permits-in-2027-budget/",False,False,date-bearing source for non-OHLCV family,https://www.lankabusinessonline.com/wp-json/wp/v2/posts?per_page=5&orderby=date
8,cse_detailed_trades_current,CSE detailedTrades API,market_stats,api,quarantine,8.0,True,200,True,False,False,False,False,,True,True,current snapshot only; cannot fill historical 2026 gap,https://www.cse.lk/api/detailedTrades
9,marketscreener_comb_html,MarketScreener COMB.N0000 page,ohlcv,html,quarantine,7.6,True,200,True,True,False,False,False,2013-08-27;2013-12-31;2014-12-31;2023-05-01;2023-07-31;2023-10-31;2024-03-29;2024-04-30;2024-10-31;2025-04-07;2025-04-30;2025-06-30;2025-07-31;2025-10-30;2026-03-31;2026-04-30;2026-05-29,True,False,OHLCV candidate lacks verifiable row/report dates,https://www.marketscreener.com/quote/stock/COMMERCIAL-BANK-OF-CEYLON-20701211/
10,daily_mirror_business_html,Daily Mirror business page,news_announcements,html,cross_check_only,7.6,True,200,True,True,False,False,False,04 Sep 2023;27 May 2026;28 May 2026;29 May 2026;31 March 2026;31 May 2026,True,False,useful fields observed but not enough for primary ingestion,https://www.dailymirror.lk/business
